indicator,geography,year,value,unit,source_id
Total expenditure,Punjab,2026,166711,₹ crore,prs_punjab_budget_2026_27
Total receipts,Punjab,2026,126740,₹ crore,prs_punjab_budget_2026_27
Own tax revenue,Punjab,2026,70851,₹ crore,prs_punjab_budget_2026_27
Revenue deficit,Punjab,2026,21955,₹ crore,prs_punjab_budget_2026_27
Fiscal deficit,Punjab,2026,39971,₹ crore,prs_punjab_budget_2026_27
GSDP (current prices),Punjab,2026,980635,₹ crore,prs_punjab_budget_2026_27
