indicator,geography,year,value,unit,source_id
Revenue receipts,Punjab,2024,93207,₹ crore,prs_punjab_budget_2026_27
Revenue receipts,Punjab,2025,116516,₹ crore,prs_punjab_budget_2026_27
Revenue receipts,Punjab,2026,126190,₹ crore,prs_punjab_budget_2026_27
Revenue expenditure,Punjab,2024,125776,₹ crore,prs_punjab_budget_2026_27
Revenue expenditure,Punjab,2025,143523,₹ crore,prs_punjab_budget_2026_27
Revenue expenditure,Punjab,2026,148146,₹ crore,prs_punjab_budget_2026_27
