indicator,geography,year,value,unit,source_id
GSDP (current prices),Punjab,2024,838637,₹ crore,prs_punjab_budget_2026_27
GSDP (current prices),Punjab,2025,891487,₹ crore,prs_punjab_budget_2026_27
GSDP (current prices),Punjab,2026,980635,₹ crore,prs_punjab_budget_2026_27
