indicator,geography,year,value,unit,source_id
Fiscal deficit,Punjab,2024,4.7,% of GSDP,prs_punjab_budget_2026_27
Fiscal deficit,Punjab,2025,4.2,% of GSDP,prs_punjab_budget_2026_27
Fiscal deficit,Punjab,2026,4.1,% of GSDP,prs_punjab_budget_2026_27
Revenue deficit,Punjab,2024,3.9,% of GSDP,prs_punjab_budget_2026_27
Revenue deficit,Punjab,2025,3.0,% of GSDP,prs_punjab_budget_2026_27
Revenue deficit,Punjab,2026,2.2,% of GSDP,prs_punjab_budget_2026_27
