indicator,geography,year,value,unit,source_id
Punjab,Punjab,2024,124.26,lakh tonnes,fci_wheat_rms_2024_25
Rest of India,India (excl. Punjab),2024,141.74,lakh tonnes,fci_wheat_rms_2024_25
